top,track_name,track_popularity,duration_ms,artist_name,artist_genres,artist_popularity,feats,explicit,album,type,relase_date,track_id,artist_id,duracion_mins_segs
73,rather lie ,85,209680,Playboi Carti,rage rap,90,The Weeknd,True,MUSIC,album,2025-03-14,68qeaZhtMZ6abrJCYt6nQn,699OTQXzgjhIYAHMy9RyPD,3:29
74,bottle rockets ,73,235773,Scotty McCreery,country,66,Hootie & The Blowfish,False,Bottle Rockets (feat. Hootie & The Blowfish),single,2025-05-15,5Xl87hTgoBbSnEXKNse77Q,6ZV6lGY0prbqpTD0Md8i29,3:55
74,bottle rockets ,73,235773,Scotty McCreery,acoustic country,66,Hootie & The Blowfish,False,Bottle Rockets (feat. Hootie & The Blowfish),single,2025-05-15,5Xl87hTgoBbSnEXKNse77Q,6ZV6lGY0prbqpTD0Md8i29,3:55
75,marlboro rojo,92,184173,Fuerza Regida,corrido,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,corridos tumbados,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,corridos bélicos,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,música mexicana,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,sierreño,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,banda,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,electro corridos,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,sad sierreño,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
75,marlboro rojo,92,184173,Fuerza Regida,dembow belico,94,,True,111XPANTIA,album,2025-05-02,3hpm0fTeSqlhJbnqAgaLZs,0ys2OFYzWYB5hRDLCsBqxt,3:04
76,bloodline ,90,182008,Alex Warren,,90,Jelly Roll,False,Bloodline (with Jelly Roll),single,2025-05-22,0qmhTHMVxnXRmT5N92wTD9,0fTSzq9jAh4c36UVb4V7CB,3:02
77,home ,78,135133,BigXthaPlug,southern hip hop,84,Shaboozey,True,Home (feat. Shaboozey),single,2025-06-27,7LaLY7dkzWEtmtJ8o7oD05,6qxpnaukVayrQn6ViNvu9I,2:15
78,peekaboo ,83,155917,Kendrick Lamar,hip hop,94,AZ Chike,True,GNX,album,2024-11-22,2Uts1QFB4u2YNIMiqcb4de,2YZyLoL8N0Wb9xBt1NhZWg,2:35
78,peekaboo ,83,155917,Kendrick Lamar,west coast hip hop,94,AZ Chike,True,GNX,album,2024-11-22,2Uts1QFB4u2YNIMiqcb4de,2YZyLoL8N0Wb9xBt1NhZWg,2:35
79,dark til daylight,67,235566,Morgan Wallen,country,95,,False,I’m The Problem,album,2025-05-16,0DlaIUTa0Ng1hOM1wcFcZe,4oUHIQIBe0LHzYfvXNW4QM,3:55
80,latina foreva,85,159522,KAROL G,reggaeton,94,,True,Tropicoqueta,album,2025-06-20,2KrQbq3aqGOFGnkTKnN2XA,790FomKkXshlbRYZFtlgla,2:39
80,latina foreva,85,159522,KAROL G,latin,94,,True,Tropicoqueta,album,2025-06-20,2KrQbq3aqGOFGnkTKnN2XA,790FomKkXshlbRYZFtlgla,2:39
80,latina foreva,85,159522,KAROL G,urbano latino,94,,True,Tropicoqueta,album,2025-06-20,2KrQbq3aqGOFGnkTKnN2XA,790FomKkXshlbRYZFtlgla,2:39
81,folded,87,238120,Kehlani,,80,,False,Folded,single,2025-06-11,0bxPRWprUVpQK0UFcddkrA,0cGUm45nv7Z6M6qdXYQGTX,3:58
82,fwu,84,171000,Don Toliver,,89,Mustard,True,FWU,single,2025-06-27,1NpHJ96ljWvqdbjlyc9GtT,4Gso3d4CscCijv0lmajZWs,2:51
83,twilight zone,78,198320,Ariana Grande,pop,93,,False,eternal sunshine deluxe: brighter days ahead,album,2025-03-28,1UrwJzlNC2oaTlxj1OZmcu,66CXWjxzNUsdJxJ2JdwvnR,3:18
84,owa owa,83,132380,Lil Tecca,melodic rap,86,,True,OWA OWA,single,2025-05-30,5E3XPRJVgYnxhMAFI7nZ7N,4Ga1P7PMIsmqEZqhYZQgDo,2:12
84,owa owa,83,132380,Lil Tecca,rap,86,,True,OWA OWA,single,2025-05-30,5E3XPRJVgYnxhMAFI7nZ7N,4Ga1P7PMIsmqEZqhYZQgDo,2:12
85,what was that,83,209286,Lorde,,86,,False,Virgin,album,2025-06-27,7hGCCQkdyF1MX6uk339uBS,163tK9Wjr9P9DmM0AVK7lm,3:29
86,single again,64,179050,Josh Ross,country,68,,False,Single Again,single,2024-01-12,2fKAG7MnnFDrQERDAzSztc,1ZGTSMjK1D2HrpPTOh916U,2:59
87,gabriela,93,197226,KATSEYE,k-pop,85,,False,Gabriela,single,2025-06-20,1xOqGUkyxGQRdCvGpvWKmL,3c0gDdb9lhnHGFtP4prQpn,3:17
88,eoo,93,204768,Bad Bunny,reggaeton,100,,True,DeBÍ TiRAR MáS FOToS,album,2025-01-05,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X,3:24
88,eoo,93,204768,Bad Bunny,trap latino,100,,True,DeBÍ TiRAR MáS FOToS,album,2025-01-05,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X,3:24
88,eoo,93,204768,Bad Bunny,urbano latino,100,,True,DeBÍ TiRAR MáS FOToS,album,2025-01-05,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X,3:24
88,eoo,93,204768,Bad Bunny,latin,100,,True,DeBÍ TiRAR MáS FOToS,album,2025-01-05,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X,3:24
89,went west,78,156083,BabyChiefDoit,chicago drill,71,,True,WENT WEST,single,2025-06-27,4QBxmb7GTU73cz9asr88Hj,1J1pGfTqp5ReVIX8Z1Wzsg,2:36
90,nice to meet you,82,176000,Myles Smith,,80,,False,A Minute...,single,2024-11-08,726SEjbF3ToEbYbn43gnxl,3bO19AOone0ubCsfDXDtYt,2:56
91,bodies ,74,178708,Offset,,80,JID,True,Bodies (with JID),single,2025-06-20,2PcZiMr9bRNtRikrN7s6bL,4DdkRBBYG6Yk9Ka8tdJ9BW,2:58
92,this heart,64,186973,Corey Kent,country,66,,False,This Heart,single,2024-01-26,1KtQmheytoTI6kOM8yCowf,3sUpZrkehiGBaMzs2h9Mmc,3:06
92,this heart,64,186973,Corey Kent,texas country,66,,False,This Heart,single,2024-01-26,1KtQmheytoTI6kOM8yCowf,3sUpZrkehiGBaMzs2h9Mmc,3:06
93,thought it was love,82,246141,Ty Myers,country,73,,False,The Select,album,2025-01-24,4fVoX6BG2jFhPx6uHKevpF,1Gh0pCAxpjw0Iq3JMoVAwO,4:06
94,touch me like a gangster,81,163930,Jessie Murph,,82,,True,Touch Me Like a Gangster,single,2025-06-06,6fYcQVXEuqmyS3HqSZ6rTd,2yLzlEFtIS0Q9UkyBZdQA7,2:43
95,went legit,74,140487,G Herbo,chicago drill,73,,True,Greatest Rapper Alive,album,2025-04-09,4IlbjcbLvNQEzmCI2eXVLP,5QdEbQJ3ylBnc3gsIASAT5,2:20
95,went legit,74,140487,G Herbo,drill,73,,True,Greatest Rapper Alive,album,2025-04-09,4IlbjcbLvNQEzmCI2eXVLP,5QdEbQJ3ylBnc3gsIASAT5,2:20
96,gnarly,91,137316,KATSEYE,k-pop,85,,True,Gnarly,single,2025-04-30,1j15Ar0qGDzIR0v3CQv3JL,3c0gDdb9lhnHGFtP4prQpn,2:17
97,me jalo,90,212002,Fuerza Regida,corrido,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,corridos tumbados,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,corridos bélicos,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,música mexicana,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,sierreño,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,banda,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,electro corridos,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,sad sierreño,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
97,me jalo,90,212002,Fuerza Regida,dembow belico,94,Grupo Frontera,True,MALA MÍA,single,2024-12-19,3D24ErT1MMmUfXWotSj2A2,0ys2OFYzWYB5hRDLCsBqxt,3:32
98,better me for you (brown eyes),83,194120,Max McNown,,76,,False,Night Diving,album,2025-01-24,4Iu73sdCNxZXZUIyClMoPZ,340PS4ZcZ4UCBgyrXzEjcp,3:14
99,bar none,77,173064,Jordan Davis,country,76,,False,Bar None,single,2025-03-28,212xtcXoSqbbwFAYd0zvNP,77kULmXAQ6vWer7IIHdGzI,2:53
100,eyes are closed,57,197188,Morgan Wallen,country,95,,False,I’m The Problem,album,2025-05-16,6Yjm10YPDiYGD3R3Qwoe13,4oUHIQIBe0LHzYfvXNW4QM,3:17
