top,track_name,track_popularity,duration_ms,artist_name,artist_genres,artist_popularity,feats,explicit,album,type,relase_date,track_id,artist_id,duracion_mins_segs
49,soda pop,96,150686,Saja Boys,k-pop,84,"Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",False,KPop Demon Hunters (Soundtrack from the Netflix Film),album,2025-06-20,02sy7FAs8dkDNYsHp4Ul3f,0BJ2EjOqcfgFvlZXNKrNbE,2:30
50,no one noticed,93,236906,The Marías,bedroom pop,86,,False,Submarine,album,2024-05-31,3siwsiaEoU4Kuuc9WKMUy5,2sSGPbdZJkaSE2AbcGOACx,3:56
51,wildflower,95,261466,Billie Eilish,,95,,False,HIT ME HARD AND SOFT,album,2024-05-17,3QaPy1KgI7nu9FJEQUgn6h,6qqNVTkY8uBg9cP3Jd7DAH,4:21
52,superman,56,188200,Morgan Wallen,country,95,,False,I’m The Problem,album,2025-05-16,3JlQPeTJDdxR6yYfus8trX,4oUHIQIBe0LHzYfvXNW4QM,3:08
53,happen to me,81,183615,Russell Dickerson,country,70,,False,Happen To Me,single,2025-02-21,64KV9vjChfN2w9vA4j7A2K,1E2AEtxaFaJtH0lO7kgNKw,3:03
54,somebody loves me,82,182767,PARTYNEXTDOOR,dark r&b,87,Drake,True,$ome $exy $ongs 4 U,album,2025-02-14,2kZoOj1n5vk9BuF0sih58M,2HPaUgqeutzr3jx5a9WyDV,3:02
54,somebody loves me,82,182767,PARTYNEXTDOOR,r&b,87,Drake,True,$ome $exy $ongs 4 U,album,2025-02-14,2kZoOj1n5vk9BuF0sih58M,2HPaUgqeutzr3jx5a9WyDV,3:02
54,somebody loves me,82,182767,PARTYNEXTDOOR,trap soul,87,Drake,True,$ome $exy $ongs 4 U,album,2025-02-14,2kZoOj1n5vk9BuF0sih58M,2HPaUgqeutzr3jx5a9WyDV,3:02
55,what it sounds like,95,250268,HUNTR/X,k-pop,89,"EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",False,KPop Demon Hunters (Soundtrack from the Netflix Film),album,2025-06-20,5sBDrrtLGbV64QJnEqfjer,2yNNYQBChuox9A5Ka93BIn,4:10
56,amen,77,197403,Shaboozey,,82,Jelly Roll,False,"Where I've Been, Isn't Where I'm Going: The Complete Edition",album,2025-04-25,2iSfSJrho5XkU2NmAnZ9ZV,3y2cIKLjiOlp1Np37WiUdH,3:17
